attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
No,Unknown,290.03550973654063,2.0,2.0,Life Sciences,266.0,4.0,0.0,3.0,1.0,laBoratoRY tECHNICiAN,4.0,Unknown,"2342,59$","6090,75$",0.0,Unknown,13.0,3.0,3.0,Part Time,0.0,8.0,2.0,2.0,7.0,3.0,6.0,1991.0,"28111,13$",1
No,travel_frequently,982.84126984127,23.0,3.0,Unknown,267.0,4.0,0.0,2.0,3.0,MANUfACTuRinG diRecTOR,3.0,Unknown,"7938,33$","20639,67$",0.0,No,21.0,4.0,2.0,Part Time,0.0,10.0,2.0,3.0,9.0,1.0,8.0,1985.0,"95260,00$",1
No,travel_rarely,556.2566609977324,27.0,3.0,Medical,268.0,3.0,0.0,3.0,2.0,HeaLThCArE REpRESENTAtIVe,3.0,Unknown,"4492,84$","11681,39$",6.0,Unknown,13.0,3.0,2.0,Part Time,2.0,17.0,3.0,2.0,7.0,7.0,7.0,1987.0,"53914,11$",Yes
No,Unknown,704.1666666666666,8.0,4.0,Unknown,269.0,3.0,0.0,3.0,2.0,Sales ExECutiVe,2.0,Unknown,"5687,50$","14787,50$",0.0,Unknown,11.0,3.0,4.0,Unknown,1.0,10.0,2.0,3.0,9.0,4.0,2.0,1981.0,Unknown,False
No,Unknown,556.2566609977324,7.0,4.0,Life Sciences,270.0,4.0,0.0,3.0,2.0,LABOraTory TecHnIciaN,4.0,Divorced,"4492,84$","11681,39$",3.0,No,22.0,4.0,4.0,Part Time,1.0,10.0,3.0,2.0,7.0,1.0,7.0,1992.0,"53914,11$",False
No,travel_rarely,456.4444444444444,8.0,4.0,Unknown,271.0,3.0,1.0,3.0,2.0,MaNUFAcTUriNg DiRECTor,4.0,Single,"3686,67$","9585,33$",1.0,No,23.0,4.0,4.0,Part Time,0.0,11.0,2.0,3.0,11.0,1.0,8.0,1992.0,"44240,00$",0
No,Unknown,561.3730158730159,21.0,4.0,Marketing,272.0,3.0,0.0,3.0,2.0,sALEs eXEcuTIVe,4.0,Unknown,"4534,17$","11788,83$",0.0,Unknown,22.0,4.0,4.0,Unknown,0.0,11.0,2.0,1.0,10.0,1.0,0.0,1972.0,Unknown,True
Yes,travel_frequently,626.6825396825396,7.0,3.0,Unknown,273.0,1.0,0.0,1.0,2.0,labOrATory teCHnIcIAn,3.0,Unknown,"5061,67$","13160,33$",1.0,Yes,24.0,4.0,4.0,Full Time,0.0,9.0,3.0,3.0,9.0,0.0,6.0,1989.0,"60740,00$",True
No,Unknown,1032.4872861766066,11.0,2.0,Technical Degree,274.0,2.0,1.0,3.0,3.0,sALES exeCUtIve,4.0,Unknown,"8339,32$","21682,23$",0.0,No,14.0,3.0,3.0,Part Time,1.0,10.0,6.0,3.0,9.0,2.0,8.0,1987.0,"100071,84$",False
No,travel_frequently,290.03550973654063,23.0,3.0,Unknown,275.0,1.0,0.0,1.0,1.0,ReseArcH SciEntIst,3.0,Divorced,"2342,59$","6090,75$",1.0,No,25.0,4.0,3.0,Part Time,3.0,10.0,2.0,2.0,10.0,0.0,9.0,1993.0,"28111,13$",False
No,non-travel,634.1111111111111,-12.0,2.0,Unknown,276.0,12.0,0.0,3.0,2.0,salEs exeCutiVE,2.0,Marreid,Unknown,"13316,33$",0.0,Unknown,13.0,3.0,1.0,Full Time,1.0,10.0,2.0,4.0,7.0,0.0,7.0,1990.0,"61460,00$",True
Yes,Unknown,636.7936507936508,6.0,4.0,Life Sciences,277.0,2.0,0.0,1.0,2.0,SAles EXecUTivE,3.0,Married,"5143,33$","13372,67$",4.0,Unknown,18.0,3.0,2.0,Full Time,0.0,10.0,3.0,2.0,7.0,7.0,7.0,1992.0,"61720,00$",False
No,travel_rarely,1032.4872861766066,-23.0,1.0,Unknown,278.0,3.0,0.0,3.0,3.0,SALEs ExecUTIvE,3.0,Divorced,"8339,32$","21682,23$",3.0,Yes,13.0,3.0,3.0,Part Time,1.0,10.0,2.0,3.0,9.0,0.0,7.0,1982.0,"100071,84$",False
No,travel_rarely,290.03550973654063,25.0,1.0,Unknown,279.0,3.0,1.0,3.0,1.0,HUmaN RESOURces,3.0,Unknown,"2342,59$","6090,75$",1.0,Unknown,23.0,4.0,4.0,Unknown,1.0,8.0,3.0,3.0,8.0,5.0,7.0,1997.0,Unknown,True
No,Unknown,481.6190476190477,9.0,2.0,Unknown,280.0,4.0,0.0,1.0,2.0,SaLEs ExEcUtiVe,4.0,Divorced,Unknown,"10114,00$",0.0,No,17.0,3.0,4.0,Part Time,3.0,10.0,2.0,4.0,8.0,0.0,7.0,1991.0,"46680,00$",True
No,travel_frequently,578.2936507936508,26.0,3.0,Unknown,281.0,2.0,1.0,3.0,2.0,rESEARch SCIEnTISt,2.0,Divorced,"4670,83$","12144,17$",1.0,No,11.0,3.0,1.0,Full Time,1.0,20.0,2.0,3.0,20.0,2.0,13.0,1983.0,"56050,00$",False
No,travel_rarely,556.2566609977324,6.0,2.0,Marketing,282.0,2.0,0.0,3.0,2.0,sales rEprESEntAtIvE,3.0,Unknown,"4492,84$","11681,39$",2.0,Yes,20.0,4.0,4.0,Part Time,1.0,13.0,3.0,1.0,7.0,4.0,5.0,1970.0,"53914,11$",True
No,non-travel,445.6111111111112,1.0,1.0,Technical Degree,283.0,4.0,0.0,3.0,2.0,mANuFacTurinG DirECtoR,3.0,Married,"3599,17$","9357,83$",1.0,Unknown,13.0,3.0,1.0,Part Time,1.0,10.0,1.0,3.0,10.0,0.0,9.0,1994.0,"43190,00$",0
No,travel_frequently,290.03550973654063,3.0,2.0,Unknown,284.0,4.0,0.0,3.0,1.0,lABorATOrY TeChnICIan,2.0,Unknown,Unknown,"6090,75$",4.0,No,12.0,3.0,3.0,Part Time,0.0,13.0,3.0,2.0,8.0,7.0,2.0,1987.0,"28111,13$",True
No,travel_rarely,290.03550973654063,14.0,3.0,Unknown,285.0,4.0,1.0,3.0,1.0,RESEarCh SCIEnTiST,2.0,Unknown,"2342,59$","6090,75$",1.0,Unknown,13.0,3.0,4.0,Part Time,1.0,8.0,5.0,3.0,8.0,1.0,6.0,1990.0,"28111,13$",True
No,travel_rarely,1582.7713464696226,3.0,3.0,Unknown,286.0,4.0,1.0,3.0,4.0,hEalthCARE RepresenTaTivE,2.0,Single,Unknown,"33238,20$",3.0,Unknown,18.0,3.0,3.0,Full Time,0.0,10.0,6.0,3.0,7.0,1.0,0.0,1972.0,"153407,07$",False
No,travel_rarely,290.03550973654063,9.0,3.0,Medical,287.0,4.0,1.0,3.0,1.0,rEsEarCH SCIeNtIsT,2.0,Single,"2342,59$","6090,75$",1.0,No,16.0,3.0,4.0,Part Time,0.0,10.0,2.0,2.0,7.0,0.0,3.0,1996.0,"28111,13$",0
No,Unknown,367.7142857142857,21.0,3.0,Life Sciences,288.0,2.0,0.0,4.0,1.0,rEsEARCH SciENtisT,1.0,Unknown,"2970,00$","7722,00$",1.0,Yes,12.0,3.0,1.0,Full Time,1.0,10.0,3.0,2.0,8.0,1.0,7.0,1986.0,"35640,00$",True
No,Unknown,645.9761904761905,29.0,3.0,Unknown,289.0,4.0,0.0,3.0,2.0,MAnuFaCtURING DirECTOr,4.0,Married,"5217,50$","13565,50$",3.0,No,18.0,3.0,1.0,Full Time,1.0,9.0,3.0,1.0,7.0,1.0,7.0,1985.0,"62610,00$",Yes
No,non-travel,702.0,18.0,4.0,Unknown,290.0,4.0,0.0,3.0,2.0,maNUfAcTURiNG dIRectoR,4.0,Divorced,"5670,00$","14742,00$",1.0,Yes,15.0,3.0,1.0,Full Time,2.0,7.0,0.0,3.0,7.0,1.0,7.0,1974.0,"68040,00$",0
No,Unknown,556.2566609977324,20.0,3.0,Life Sciences,291.0,4.0,1.0,3.0,2.0,SaLES eXeCUtIVE,3.0,Single,"4492,84$","11681,39$",1.0,Unknown,14.0,3.0,4.0,Part Time,0.0,7.0,2.0,3.0,7.0,0.0,7.0,1996.0,"53914,11$",False
No,Unknown,1032.4872861766066,6.0,3.0,Medical,292.0,4.0,1.0,2.0,3.0,SALes exEcuTIVe,4.0,Single,"8339,32$","21682,23$",6.0,Unknown,12.0,3.0,4.0,Part Time,0.0,23.0,2.0,3.0,19.0,12.0,8.0,1978.0,"100071,84$",1
No,Unknown,1032.4872861766066,1.0,3.0,Unknown,293.0,3.0,1.0,3.0,3.0,salES ExEcuTiVE,3.0,Single,Unknown,"21682,23$",1.0,No,14.0,3.0,1.0,Part Time,0.0,10.0,3.0,4.0,10.0,0.0,8.0,1988.0,"100071,84$",1
Yes,travel_rarely,290.03550973654063,2.0,2.0,Unknown,294.0,1.0,1.0,3.0,1.0,LabOraTOry TEChniCIaN,1.0,Unknown,Unknown,"6090,75$",7.0,No,20.0,3.0,1.0,Part Time,0.0,13.0,3.0,4.0,9.0,1.0,7.0,1990.0,"28111,13$",True
No,Unknown,1973.9841269841268,2.0,4.0,Life Sciences,295.0,1.0,0.0,2.0,5.0,ManAGer,3.0,Unknown,"15943,72$","41453,67$",1.0,Yes,18.0,3.0,4.0,Full Time,0.0,33.0,2.0,4.0,33.0,15.0,12.0,1971.0,"191324,62$",1
No,Unknown,2005.301587301588,2.0,2.0,Medical,296.0,1.0,0.0,3.0,5.0,REseARCH DirectOr,3.0,Unknown,"16196,67$","42111,33$",0.0,No,19.0,3.0,4.0,Full Time,1.0,10.0,5.0,3.0,21.0,3.0,9.0,1983.0,"194360,00$",True
No,non-travel,556.2566609977324,2.0,2.0,Life Sciences,297.0,4.0,0.0,2.0,2.0,sAlES EXEcUtIVe,4.0,Unknown,"4492,84$","11681,39$",3.0,No,18.0,3.0,4.0,Part Time,1.0,13.0,0.0,3.0,8.0,7.0,5.0,1985.0,"53914,11$",Yes
No,Unknown,1582.7713464696226,-27.0,3.0,Unknown,298.0,27.0,1.0,1.0,4.0,ManAgEr,2.0,Marreid,"12783,92$","33238,20$",3.0,Yes,12.0,3.0,2.0,Full Time,1.0,28.0,2.0,2.0,7.0,7.0,7.0,1977.0,"153407,07$",0
No,travel_rarely,1582.7713464696226,20.0,2.0,Medical,299.0,3.0,0.0,3.0,4.0,HeAlThcare rePREsentatIVE,4.0,Married,"12783,92$","33238,20$",0.0,Yes,14.0,3.0,2.0,Unknown,0.0,21.0,2.0,3.0,20.0,4.0,10.0,1978.0,"153407,07$",1
Yes,non-travel,1032.4872861766066,-10.0,4.0,Life Sciences,300.0,1.0,0.0,3.0,3.0,maNaGeR,2.0,Married,"8339,32$","21682,23$",1.0,Unknown,12.0,3.0,4.0,Unknown,1.0,10.0,2.0,2.0,10.0,9.0,9.0,1976.0,Unknown,True
No,Unknown,1032.4872861766066,22.0,3.0,Life Sciences,301.0,2.0,1.0,4.0,3.0,maNagER,2.0,Divorced,Unknown,"21682,23$",7.0,Unknown,18.0,3.0,2.0,Part Time,1.0,10.0,6.0,2.0,7.0,6.0,2.0,1988.0,"100071,84$",0
No,travel_frequently,556.2566609977324,2.0,2.0,Unknown,302.0,2.0,0.0,3.0,2.0,SaLES EXEcUtIVE,4.0,Single,"4492,84$","11681,39$",1.0,Unknown,18.0,3.0,1.0,Part Time,0.0,10.0,3.0,3.0,10.0,0.0,9.0,1994.0,"53914,11$",True
No,travel_rarely,556.2566609977324,20.0,2.0,Technical Degree,303.0,2.0,0.0,3.0,2.0,lABoraToRY teCHnIcIaN,4.0,Married,Unknown,"11681,39$",3.0,Unknown,19.0,3.0,4.0,Part Time,1.0,12.0,4.0,3.0,10.0,0.0,8.0,1968.0,"53914,11$",True
Yes,travel_rarely,601.3015873015873,-45.0,4.0,Unknown,304.0,4.0,0.0,2.0,2.0,sAlES eXEcuTivE,4.0,Single,"4856,67$","12627,33$",1.0,Unknown,12.0,3.0,2.0,Unknown,0.0,10.0,0.0,3.0,8.0,7.0,4.0,1997.0,Unknown,1
No,travel_rarely,556.2566609977324,7.0,3.0,Technical Degree,305.0,2.0,0.0,4.0,2.0,saLeS EXEcUTIVe,4.0,Unknown,"4492,84$","11681,39$",4.0,Unknown,11.0,3.0,2.0,Part Time,1.0,10.0,3.0,2.0,8.0,7.0,7.0,1992.0,"53914,11$",Yes
No,travel_frequently,253.2936507936508,10.0,4.0,Life Sciences,306.0,3.0,1.0,3.0,1.0,LabORAtorY TeChniCIAn,4.0,Unknown,Unknown,"5319,17$",0.0,No,19.0,3.0,1.0,Part Time,0.0,10.0,5.0,3.0,8.0,1.0,7.0,1980.0,"24550,00$",Yes
No,travel_rarely,556.2566609977324,-13.0,3.0,Marketing,307.0,4.0,0.0,3.0,2.0,sAles ExECUTive,4.0,Unknown,Unknown,"11681,39$",4.0,Unknown,12.0,3.0,4.0,Part Time,3.0,13.0,3.0,3.0,7.0,1.0,7.0,1992.0,"53914,11$",True
No,Unknown,521.547619047619,2.0,4.0,Medical,308.0,1.0,1.0,4.0,2.0,RESEarCH ScIENTisT,4.0,Single,Unknown,"10952,50$",7.0,Unknown,16.0,3.0,3.0,Part Time,0.0,10.0,0.0,2.0,7.0,0.0,7.0,1991.0,"50550,00$",True
No,Unknown,483.0634920634921,10.0,3.0,Unknown,309.0,2.0,0.0,2.0,2.0,saLes ExecUtivE,4.0,Unknown,"3901,67$","10144,33$",3.0,No,14.0,3.0,3.0,Unknown,0.0,10.0,6.0,2.0,7.0,0.0,1.0,1990.0,Unknown,False
No,travel_frequently,542.3888888888889,10.0,4.0,Life Sciences,310.0,3.0,1.0,2.0,2.0,LaBorATORy tEChnICiaN,3.0,Divorced,Unknown,"11390,17$",1.0,No,11.0,3.0,2.0,Part Time,1.0,9.0,3.0,4.0,9.0,0.0,0.0,1980.0,"52570,00$",0
Yes,travel_rarely,218.62698412698413,8.0,4.0,Unknown,311.0,2.0,0.0,1.0,1.0,LaborAtORY TechNIciaN,1.0,Unknown,"1765,83$","4591,17$",1.0,Unknown,11.0,3.0,4.0,Unknown,0.0,7.0,4.0,2.0,7.0,0.0,7.0,1994.0,Unknown,False
No,Unknown,556.2566609977324,8.0,4.0,Unknown,312.0,2.0,1.0,3.0,2.0,sales ExecutIvE,2.0,Unknown,"4492,84$","11681,39$",1.0,No,18.0,3.0,1.0,Part Time,1.0,8.0,3.0,3.0,8.0,0.0,7.0,1996.0,"53914,11$",False
No,travel_rarely,556.2566609977324,10.0,1.0,Unknown,313.0,4.0,1.0,2.0,2.0,saleS executIVE,2.0,Divorced,"4492,84$","11681,39$",1.0,Yes,14.0,3.0,1.0,Part Time,2.0,7.0,2.0,3.0,7.0,1.0,7.0,1994.0,"53914,11$",False
No,Unknown,616.3650793650794,6.0,3.0,Medical,314.0,3.0,0.0,4.0,2.0,rESEArCh Scientist,1.0,Divorced,"4978,33$","12943,67$",4.0,Unknown,13.0,3.0,1.0,Full Time,2.0,13.0,2.0,3.0,7.0,6.0,7.0,1986.0,"59740,00$",0
No,travel_rarely,556.2566609977324,1.0,3.0,Unknown,315.0,3.0,0.0,3.0,2.0,SalES EXecuTIvE,3.0,Unknown,"4492,84$","11681,39$",1.0,Unknown,17.0,3.0,2.0,Part Time,1.0,10.0,3.0,3.0,8.0,7.0,7.0,1997.0,"53914,11$",True
No,travel_rarely,290.03550973654063,10.0,4.0,Life Sciences,316.0,4.0,1.0,4.0,1.0,labORatORY TECHNIciAn,3.0,Married,"2342,59$","6090,75$",3.0,Yes,13.0,3.0,3.0,Unknown,1.0,10.0,3.0,3.0,7.0,1.0,7.0,1983.0,Unknown,True
Yes,Unknown,556.2566609977324,4.0,3.0,Unknown,317.0,1.0,0.0,3.0,2.0,Sales eXEcuTive,2.0,Unknown,"4492,84$","11681,39$",1.0,No,18.0,3.0,3.0,Part Time,0.0,8.0,5.0,3.0,8.0,7.0,7.0,1982.0,"53914,11$",False
No,travel_rarely,556.2566609977324,14.0,2.0,Unknown,318.0,3.0,1.0,3.0,2.0,SAlES eXECutIVe,4.0,Unknown,"4492,84$","11681,39$",4.0,No,11.0,3.0,3.0,Unknown,1.0,18.0,2.0,2.0,7.0,0.0,7.0,1972.0,Unknown,Yes
No,Unknown,313.031746031746,14.0,3.0,Unknown,319.0,4.0,1.0,3.0,1.0,lABOraToRY TEcHNICIaN,1.0,Unknown,Unknown,"6573,67$",1.0,No,12.0,3.0,3.0,Full Time,1.0,10.0,2.0,2.0,18.0,12.0,17.0,1986.0,"30340,00$",0
No,Unknown,1363.142857142857,6.0,3.0,Life Sciences,320.0,3.0,1.0,4.0,4.0,salEs ExECutiVE,1.0,Married,"11010,00$","28626,00$",9.0,No,11.0,3.0,4.0,Unknown,3.0,36.0,0.0,2.0,7.0,7.0,7.0,1967.0,Unknown,True
No,travel_rarely,865.8412698412699,1.0,3.0,Marketing,321.0,2.0,0.0,4.0,3.0,sAles exECUtiVe,1.0,Married,Unknown,"18182,67$",1.0,Unknown,16.0,3.0,3.0,Part Time,1.0,10.0,2.0,3.0,10.0,0.0,7.0,1982.0,"83920,00$",1
No,Unknown,556.2566609977324,18.0,3.0,Medical,322.0,3.0,1.0,3.0,2.0,MANUfaCTUrinG DireCtOr,3.0,Unknown,"4492,84$","11681,39$",2.0,No,14.0,3.0,3.0,Part Time,1.0,19.0,5.0,2.0,10.0,0.0,8.0,1977.0,"53914,11$",False
No,non-travel,290.03550973654063,2.0,3.0,Unknown,323.0,3.0,1.0,3.0,1.0,LABoRaTOrY tEcHnICian,4.0,Single,Unknown,"6090,75$",0.0,Unknown,14.0,3.0,3.0,Part Time,0.0,12.0,2.0,2.0,11.0,6.0,7.0,1993.0,"28111,13$",False
No,travel_rarely,1032.4872861766066,16.0,3.0,Life Sciences,324.0,4.0,0.0,3.0,3.0,heaLThcARe REpreSENTAtIVe,3.0,Unknown,"8339,32$","21682,23$",4.0,Yes,12.0,3.0,3.0,Part Time,0.0,10.0,2.0,3.0,8.0,0.0,0.0,1988.0,"100071,84$",False
No,travel_rarely,417.9603174603175,2.0,5.0,Unknown,325.0,2.0,1.0,3.0,2.0,sAleS eXecUTIVE,4.0,Married,"3375,83$","8777,17$",2.0,No,14.0,3.0,1.0,Part Time,1.0,14.0,2.0,3.0,9.0,6.0,7.0,1975.0,"40510,00$",True
No,travel_rarely,495.75396825396825,2.0,3.0,Other,326.0,4.0,0.0,3.0,2.0,SAles eXEcutiVE,2.0,Unknown,"4004,17$","10410,83$",0.0,No,19.0,3.0,2.0,Part Time,1.0,10.0,3.0,4.0,8.0,3.0,7.0,1978.0,"48050,00$",True
Yes,travel_frequently,282.8015873015873,17.0,4.0,Life Sciences,327.0,2.0,1.0,3.0,1.0,HuMAN ReSOuRCeS,3.0,Unknown,"2284,17$","5938,83$",0.0,Yes,11.0,3.0,2.0,Unknown,1.0,8.0,2.0,3.0,7.0,1.0,0.0,1997.0,Unknown,True
No,Unknown,556.2566609977324,2.0,4.0,Other,328.0,1.0,1.0,2.0,2.0,HEAlTHcARE REPrEsEnTATIVE,3.0,Single,Unknown,"11681,39$",2.0,Yes,17.0,3.0,1.0,Part Time,0.0,10.0,3.0,3.0,8.0,0.0,7.0,1982.0,"53914,11$",1
No,Unknown,550.6428571428571,21.0,4.0,Unknown,329.0,4.0,0.0,4.0,2.0,sAlEs exECUTivE,4.0,Single,Unknown,"11563,50$",1.0,Unknown,12.0,3.0,4.0,Part Time,0.0,10.0,3.0,3.0,10.0,5.0,7.0,1989.0,"53370,00$",True
No,travel_rarely,556.2566609977324,6.0,4.0,Medical,330.0,1.0,0.0,4.0,2.0,SALes EXEcUTiVe,4.0,Divorced,Unknown,"11681,39$",4.0,No,22.0,4.0,4.0,Part Time,2.0,13.0,4.0,4.0,7.0,5.0,7.0,1992.0,"53914,11$",1
No,travel_frequently,556.2566609977324,9.0,5.0,Unknown,331.0,4.0,0.0,3.0,2.0,labOraTORY tEChnIciAn,3.0,Divorced,Unknown,"11681,39$",3.0,Unknown,13.0,3.0,2.0,Part Time,1.0,10.0,3.0,3.0,8.0,4.0,7.0,1980.0,"53914,11$",0
No,Unknown,556.2566609977324,1.0,1.0,Unknown,332.0,4.0,1.0,3.0,2.0,SALEs eXecuTiVE,1.0,Single,Unknown,"11681,39$",7.0,Unknown,20.0,4.0,4.0,Part Time,0.0,18.0,2.0,4.0,14.0,8.0,10.0,1970.0,"53914,11$",False
No,travel_rarely,973.3492063492064,3.0,3.0,Other,333.0,3.0,0.0,3.0,3.0,MaNUfaCtURinG DiRectoR,3.0,Married,"7861,67$","20440,33$",1.0,No,15.0,3.0,3.0,Part Time,1.0,10.0,2.0,3.0,10.0,7.0,8.0,1986.0,"94340,00$",1
No,Unknown,1032.4872861766066,19.0,4.0,Unknown,334.0,3.0,0.0,3.0,3.0,HuMAN rEsoUrCes,2.0,Unknown,"8339,32$","21682,23$",2.0,Unknown,15.0,3.0,3.0,Part Time,1.0,16.0,1.0,4.0,9.0,7.0,1.0,1969.0,"100071,84$",True
No,travel_rarely,556.2566609977324,7.0,4.0,Marketing,335.0,4.0,1.0,2.0,2.0,SaleS executIVE,4.0,Unknown,"4492,84$","11681,39$",0.0,No,20.0,3.0,1.0,Part Time,0.0,10.0,2.0,3.0,7.0,0.0,5.0,1985.0,"53914,11$",1
No,Unknown,290.03550973654063,1.0,4.0,Life Sciences,336.0,2.0,0.0,1.0,1.0,rEsEArCH sCIeNTIST,4.0,Divorced,"2342,59$","6090,75$",1.0,Unknown,18.0,3.0,4.0,Part Time,1.0,10.0,5.0,3.0,10.0,2.0,8.0,1994.0,"28111,13$",Yes
No,Unknown,1032.4872861766066,9.0,3.0,Medical,337.0,4.0,1.0,2.0,3.0,heALTHCARe rEpResentatIVE,2.0,Unknown,Unknown,"21682,23$",1.0,Unknown,14.0,3.0,2.0,Part Time,0.0,9.0,3.0,4.0,8.0,7.0,7.0,1989.0,"100071,84$",0
No,Unknown,556.2566609977324,2.0,4.0,Technical Degree,338.0,4.0,1.0,2.0,2.0,hEALthCAre ReprEsentaTIvE,3.0,Single,"4492,84$","11681,39$",1.0,No,11.0,3.0,1.0,Part Time,0.0,20.0,4.0,3.0,20.0,11.0,10.0,1984.0,"53914,11$",0
No,Unknown,556.7301587301588,10.0,3.0,Marketing,339.0,4.0,0.0,3.0,2.0,salEs EXEcutIvE,4.0,Unknown,"4496,67$","11691,33$",1.0,Unknown,12.0,3.0,4.0,Full Time,0.0,10.0,2.0,2.0,10.0,0.0,8.0,1991.0,"53960,00$",Yes
No,travel_rarely,556.2566609977324,1.0,4.0,Life Sciences,340.0,2.0,1.0,4.0,2.0,HealThcARE ReprESEnTaTIve,4.0,Unknown,"4492,84$","11681,39$",0.0,Unknown,13.0,3.0,3.0,Part Time,0.0,10.0,4.0,3.0,9.0,1.0,8.0,1985.0,"53914,11$",1
No,travel_rarely,1032.4872861766066,1.0,2.0,Life Sciences,341.0,3.0,1.0,3.0,3.0,mAnUfACTuRING DIreCtOR,1.0,Married,"8339,32$","21682,23$",1.0,Unknown,11.0,3.0,4.0,Part Time,0.0,9.0,3.0,3.0,9.0,0.0,7.0,1996.0,"100071,84$",False
No,travel_rarely,1151.3253968253969,3.0,2.0,Life Sciences,342.0,3.0,1.0,3.0,3.0,ReSEARch dIrEcToR,4.0,Single,"9299,17$","24177,83$",3.0,Unknown,15.0,3.0,4.0,Full Time,0.0,10.0,6.0,3.0,7.0,7.0,7.0,1991.0,"111590,00$",False
No,Unknown,511.7460317460318,-35.0,4.0,Marketing,343.0,4.0,0.0,3.0,2.0,SALES eXEcUTiVe,1.0,Single,"4133,33$","10746,67$",2.0,Unknown,12.0,3.0,4.0,Unknown,0.0,20.0,2.0,3.0,7.0,1.0,7.0,1976.0,Unknown,False
No,travel_frequently,907.2142857142858,10.0,2.0,Unknown,344.0,4.0,0.0,3.0,3.0,MaNufACtURiNg DirEctOr,1.0,Unknown,"7327,50$","19051,50$",1.0,No,21.0,4.0,3.0,Part Time,2.0,9.0,4.0,2.0,9.0,1.0,7.0,1996.0,"87930,00$",1
No,Unknown,1979.8174603174605,1.0,3.0,Unknown,345.0,4.0,0.0,2.0,5.0,mAnAGer,3.0,Unknown,Unknown,"41576,17$",1.0,No,12.0,3.0,2.0,Full Time,1.0,22.0,3.0,3.0,22.0,2.0,10.0,1982.0,"191890,00$",False
Yes,Unknown,228.63492063492063,-35.0,2.0,Unknown,346.0,35.0,1.0,1.0,1.0,reSEArch SCIEntIsT,2.0,Unknown,"1846,67$","4801,33$",7.0,Yes,13.0,3.0,4.0,Part Time,0.0,10.0,4.0,3.0,7.0,3.0,7.0,1995.0,"22160,00$",1
No,Unknown,1208.484126984127,8.0,3.0,Unknown,347.0,1.0,1.0,4.0,3.0,rESeArCh DIrEctor,1.0,Married,"9760,83$","25378,17$",9.0,Unknown,14.0,3.0,1.0,Full Time,1.0,10.0,2.0,3.0,8.0,0.0,5.0,1987.0,"117130,00$",False
No,Unknown,547.2380952380953,27.0,5.0,Marketing,348.0,3.0,0.0,3.0,2.0,SALEs eXecutIVE,4.0,Divorced,"4420,00$","11492,00$",7.0,No,23.0,3.0,4.0,Unknown,1.0,10.0,2.0,2.0,8.0,7.0,7.0,1993.0,"53040,00$",True
No,travel_rarely,1145.547619047619,9.0,3.0,Unknown,349.0,3.0,0.0,3.0,4.0,heALTHcaRE rEPresEnTAtIve,4.0,Married,"9252,50$","24056,50$",7.0,No,11.0,3.0,3.0,Full Time,0.0,30.0,1.0,2.0,10.0,1.0,1.0,1967.0,"111030,00$",False
No,travel_rarely,684.2539682539683,2.0,2.0,Unknown,350.0,2.0,0.0,1.0,2.0,SalES rEpRESeNtAtive,3.0,Single,"5526,67$","14369,33$",0.0,No,13.0,3.0,1.0,Full Time,0.0,9.0,3.0,3.0,8.0,3.0,1.0,1978.0,"66320,00$",1
No,non-travel,782.7857142857142,8.0,4.0,Unknown,351.0,1.0,0.0,2.0,3.0,SaLEs eXeCutiVE,1.0,Single,"6322,50$","16438,50$",1.0,Unknown,15.0,3.0,2.0,Part Time,0.0,10.0,1.0,3.0,10.0,0.0,9.0,1987.0,"75870,00$",False
No,Unknown,447.2619047619048,27.0,3.0,Medical,352.0,2.0,1.0,3.0,2.0,HEalTHcArE repREsENtaTIVE,3.0,Married,"3612,50$","9392,50$",4.0,No,12.0,3.0,1.0,Part Time,1.0,11.0,3.0,2.0,8.0,1.0,1.0,1994.0,"43350,00$",1
No,Unknown,616.984126984127,2.0,4.0,Life Sciences,353.0,1.0,1.0,4.0,2.0,mAnUfactUrING DiReCToR,1.0,Single,"4983,33$","12956,67$",6.0,Unknown,12.0,3.0,4.0,Full Time,0.0,17.0,2.0,3.0,15.0,4.0,12.0,1985.0,"59800,00$",True
No,Unknown,437.8730158730159,-13.0,2.0,Medical,354.0,13.0,1.0,4.0,2.0,HeALTHCARe rEpRESEnTaTIve,2.0,Unknown,"3536,67$","9195,33$",1.0,No,24.0,4.0,4.0,Unknown,1.0,8.0,2.0,3.0,8.0,3.0,7.0,1983.0,Unknown,1
No,travel_frequently,1973.9841269841268,8.0,3.0,Unknown,355.0,2.0,0.0,3.0,5.0,MANAGER,4.0,Unknown,"15943,72$","41453,67$",1.0,No,13.0,3.0,2.0,Unknown,1.0,24.0,4.0,2.0,24.0,14.0,9.0,1981.0,Unknown,1
No,travel_rarely,539.3968253968254,1.0,3.0,Other,356.0,3.0,1.0,3.0,2.0,MANufacTuRInG DIReCtor,2.0,Unknown,"4356,67$","11327,33$",0.0,Unknown,15.0,3.0,1.0,Part Time,1.0,10.0,2.0,3.0,9.0,0.0,5.0,1987.0,"52280,00$",False
