Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Standardhours,Stockoptionlevel,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Salary,Remotework
Yes,Unknown,556.26,2,1,Medical,358,3,F,3,2,Sales executive,4,Single,4,Nan,16,3.0,3,Part time,0,3,3.0,9,7,3,1968,53914.11,no
No,Unknown,556.26,2,4,Unknown,359,2,M,3,2,Sales executive,2,Unknown,1,Nan,20,3.0,1,Part time,0,2,3.0,8,7,5,1995,53914.11,yes
Yes,Unknown,244.11,5,2,Medical,360,3,M,2,1,Research scientist,3,Married,1,Nan,14,3.0,1,Part time,1,2,3.0,8,1,7,1997,23660.0,yes
No,Unknown,290.04,9,2,Unknown,361,2,F,3,1,Research scientist,1,Unknown,1,Yes,13,3.0,4,Unknown,0,0,3.0,8,7,1,1979,53914.11,yes
Yes,Unknown,290.04,2,4,Life sciences,362,2,M,1,1,Laboratory technician,4,Divorced,4,Yes,13,3.0,3,Unknown,1,1,3.0,7,1,0,1982,53914.11,yes
No,Travel_rarely,240.29,7,4,Unknown,363,2,F,2,1,Sales representative,3,Unknown,3,Nan,15,3.0,2,Part time,0,2,3.0,7,5,2,1992,23290.0,no
No,Travel_frequently,443.03,28,3,Medical,364,28,F,2,2,Sales executive,1,Unknown,1,Nan,12,3.0,2,Part time,0,2,3.0,7,0,7,1997,42940.0,yes
No,Unknown,556.26,12,3,Medical,365,4,M,3,2,Healthcare representative,4,Unknown,0,Nan,11,3.0,3,Part time,2,2,3.0,9,8,5,1992,53914.11,no
No,Unknown,693.85,3,4,Medical,366,3,M,3,2,Manufacturing director,1,Married,1,Nan,12,3.0,3,Full time,1,2,3.0,8,6,3,1991,67250.0,no
Yes,Travel_rarely,1065.28,3,1,Life sciences,367,3,F,2,3,Sales executive,4,Married,1,Nan,11,3.0,1,Full time,1,6,3.0,16,3,7,1987,103250.0,no
No,Non-travel,458.82,47,2,Unknown,368,47,F,3,2,Laboratory technician,2,Unknown,1,Nan,12,3.0,2,Part time,0,5,3.0,9,0,8,1978,44470.0,yes
No,Travel_rarely,1032.49,2,5,Unknown,369,1,F,4,3,Sales executive,3,Single,0,No,18,3.0,4,Part time,0,3,3.0,8,0,7,1984,100071.84,no
No,Non-travel,556.26,8,4,Technical degree,370,1,F,3,2,Sales executive,4,Divorced,4,No,13,3.0,4,Part time,2,3,3.0,7,0,7,1987,53914.11,yes
No,Unknown,1118.93,7,2,Medical,371,4,F,3,3,Manufacturing director,3,Unknown,6,Nan,13,3.0,2,Full time,1,3,3.0,8,0,7,1977,108450.0,no
No,Travel_rarely,1032.49,17,3,Technical degree,372,3,M,3,3,Manufacturing director,3,Unknown,8,Nan,11,3.0,3,Part time,1,2,3.0,10,0,8,1969,100071.84,yes
No,Travel_rarely,1032.49,8,2,Unknown,373,2,M,4,3,Research director,1,Unknown,0,Yes,12,3.0,3,Part time,3,4,3.0,8,1,7,1993,100071.84,yes
No,Unknown,564.57,2,2,Medical,374,4,F,4,2,Manufacturing director,4,Married,1,Nan,12,3.0,2,Full time,0,2,3.0,8,1,3,1997,54720.0,no
No,Travel_frequently,658.77,18,4,Medical,375,3,F,3,2,Healthcare representative,2,Married,3,Nan,14,3.0,4,Full time,2,3,3.0,8,6,7,1968,63850.0,yes
No,Non-travel,654.85,1,3,Life sciences,376,4,M,3,2,Sales executive,3,Married,0,Nan,12,3.0,1,Full time,1,3,3.0,18,0,13,1973,63470.0,yes
No,Non-travel,290.04,29,4,Unknown,377,4,M,3,1,Laboratory technician,3,Single,9,No,12,3.0,2,Part time,0,2,3.0,8,7,7,1991,28111.13,yes
No,Travel_frequently,776.39,2,3,Marketing,378,3,M,2,3,Sales executive,2,Unknown,2,Nan,12,3.0,1,Part time,1,2,3.0,15,6,12,1970,75250.0,yes
No,Travel_rarely,556.26,26,3,Unknown,379,3,F,3,2,Sales executive,1,Married,1,Nan,14,3.0,2,Part time,1,3,3.0,7,7,5,1983,53914.11,no
No,Unknown,1582.77,2,1,Unknown,380,3,F,2,4,Manager,1,Single,7,No,15,3.0,2,Unknown,0,3,3.0,9,6,2,1968,53914.11,yes
Yes,Non-travel,1032.49,24,2,Unknown,381,2,F,2,3,Healthcare representative,1,Single,1,No,12,3.0,1,Part time,0,2,3.0,10,1,9,1995,100071.84,no
No,Travel_rarely,377.62,10,3,Other,382,3,M,3,2,Research scientist,3,Single,3,No,13,3.0,4,Unknown,0,4,3.0,8,1,7,1995,53914.11,yes
Yes,Unknown,1032.49,4,3,Technical degree,383,4,F,3,3,Sales executive,1,Unknown,0,Nan,22,3.0,1,Part time,0,2,3.0,8,4,7,1988,100071.84,yes
Yes,Travel_frequently,556.26,36,4,Medical,384,36,M,2,2,Research scientist,3,Single,1,No,22,3.0,2,Part time,0,4,3.0,13,3,8,1990,53914.11,yes
Yes,Unknown,290.04,4,1,Technical degree,385,4,F,3,1,Laboratory technician,4,Married,1,Nan,15,3.0,2,Part time,1,3,3.0,7,5,6,1998,28111.13,yes
No,Unknown,901.75,10,4,Unknown,386,3,F,2,3,Sales executive,3,Unknown,0,Yes,14,3.0,2,Part time,2,2,3.0,8,2,7,1985,87400.0,yes
No,Unknown,1032.49,12,3,Unknown,387,12,M,3,3,Manufacturing director,2,Unknown,0,Nan,17,3.0,2,Part time,3,3,3.0,9,1,7,1995,100071.84,yes
No,Travel_frequently,1032.49,27,3,Life sciences,388,3,M,3,3,Manufacturing director,1,Married,8,No,11,3.0,3,Part time,1,1,3.0,8,0,1,1980,100071.84,no
Yes,Travel_frequently,1582.77,2,3,Life sciences,389,1,F,3,4,Healthcare representative,4,Unknown,7,No,11,3.0,4,Full time,3,4,3.0,18,11,5,1984,153407.07,no
No,Travel_rarely,1973.98,14,3,Unknown,390,3,F,2,5,Research director,3,Unknown,1,No,14,3.0,1,Full time,0,2,3.0,20,4,9,1983,191324.62,yes
No,Travel_rarely,556.26,8,1,Medical,391,2,F,2,2,Manufacturing director,4,Married,1,Nan,15,3.0,3,Unknown,1,2,3.0,10,1,2,1994,53914.11,yes
No,Unknown,1392.75,32,4,Unknown,392,2,M,3,3,Research director,3,Unknown,9,No,17,3.0,3,Full time,0,3,3.0,18,2,13,1983,134990.0,no
No,Travel_rarely,290.04,3,4,Unknown,393,1,F,4,1,Laboratory technician,4,Unknown,1,Nan,22,3.0,2,Part time,1,2,3.0,8,0,7,1997,28111.13,yes
No,Travel_rarely,1032.49,2,3,Unknown,394,3,F,2,3,Manufacturing director,2,Divorced,2,No,18,3.0,2,Unknown,1,2,3.0,7,6,4,1988,53914.11,yes
No,Unknown,1973.98,7,2,Medical,395,4,M,3,5,Manager,3,Divorced,3,No,18,3.0,2,Full time,1,6,3.0,7,4,7,1970,191324.62,no
No,Unknown,556.26,17,4,Life sciences,396,3,F,3,2,Sales executive,1,Unknown,3,Nan,15,3.0,4,Part time,3,2,3.0,7,1,7,1988,53914.11,yes
No,Unknown,556.26,25,3,Medical,397,2,M,3,2,Sales executive,3,Unknown,1,No,12,3.0,1,Part time,1,3,3.0,10,0,1,1990,53914.11,yes
No,Unknown,290.04,6,4,Life sciences,398,3,F,1,1,Laboratory technician,3,Divorced,1,No,14,3.0,3,Part time,1,4,3.0,7,1,7,1987,28111.13,yes
No,Travel_rarely,360.18,7,4,Life sciences,399,3,F,3,2,Laboratory technician,3,Divorced,1,Nan,13,3.0,1,Part time,3,4,3.0,10,8,9,1993,34910.0,yes
No,Unknown,538.57,29,4,Unknown,400,29,F,4,2,Sales executive,4,Divorced,0,Nan,18,3.0,2,Unknown,1,3,3.0,11,1,9,1963,53914.11,yes
No,Unknown,556.26,2,2,Life sciences,401,4,M,3,2,Research scientist,3,Single,4,Yes,14,3.0,4,Part time,0,2,3.0,8,0,7,1991,53914.11,no
No,Unknown,1057.75,1,3,Technical degree,402,3,M,1,3,Manufacturing director,1,Divorced,2,Yes,21,3.0,3,Full time,1,2,3.0,7,7,7,1987,102520.0,yes
No,Travel_rarely,290.04,14,3,Unknown,403,1,F,3,1,Research scientist,1,Unknown,1,Nan,14,3.0,4,Unknown,2,3,3.0,9,6,8,1996,53914.11,yes
No,Unknown,2036.67,3,3,Life sciences,404,3,F,1,5,Research director,4,Unknown,3,No,14,3.0,2,Full time,1,2,3.0,8,0,7,1980,197400.0,yes
No,Travel_rarely,1582.77,1,3,Unknown,405,4,M,2,4,Research director,4,Divorced,3,No,14,3.0,2,Full time,2,2,3.0,7,1,7,1994,153407.07,yes
No,Unknown,1032.49,24,4,Unknown,406,24,F,3,3,Manufacturing director,4,Single,6,No,12,3.0,4,Part time,0,6,3.0,9,5,4,1964,100071.84,no
No,Travel_rarely,1032.49,4,4,Marketing,407,4,M,2,3,Sales executive,4,Single,3,No,14,3.0,4,Part time,0,3,3.0,21,15,17,1980,100071.84,yes
Yes,Travel_rarely,1032.49,15,3,Medical,408,1,M,3,3,Healthcare representative,4,Married,1,Nan,11,3.0,4,Part time,1,2,3.0,10,0,5,1979,100071.84,yes
Yes,Unknown,290.04,7,3,Technical degree,409,2,M,3,1,Laboratory technician,3,Divorced,3,Yes,13,3.0,1,Unknown,2,2,3.0,7,7,7,1994,53914.11,yes
No,Travel_rarely,640.61,8,3,Unknown,410,3,F,4,2,Sales executive,4,Married,1,Nan,15,3.0,3,Full time,2,4,3.0,10,0,8,1991,62090.0,no
No,Travel_rarely,731.92,10,4,Technical degree,411,4,M,3,3,Healthcare representative,3,Married,3,No,12,3.0,1,Part time,0,0,3.0,7,1,7,1987,70940.0,yes
Yes,Unknown,1032.49,5,3,Unknown,412,2,F,3,3,Sales executive,2,Single,9,Yes,19,3.0,3,Part time,0,2,3.0,8,7,7,1971,100071.84,yes
No,Travel_rarely,467.79,33,2,Unknown,413,1,F,3,2,Manufacturing director,3,Single,0,Nan,11,3.0,1,Unknown,0,6,3.0,8,1,7,1984,45340.0,yes
No,Unknown,876.98,9,3,Unknown,414,4,F,3,3,Healthcare representative,4,Unknown,0,Nan,11,3.0,4,Part time,1,0,3.0,9,1,6,1989,85000.0,yes
No,Unknown,556.26,2,2,Life sciences,415,2,M,3,2,Sales executive,1,Unknown,3,Nan,15,3.0,4,Unknown,1,3,3.0,7,1,7,1985,53914.11,yes
No,Travel_frequently,478.63,12,3,Marketing,416,12,M,4,2,Sales executive,1,Marreid,2,No,16,3.0,4,Part time,1,2,3.0,15,6,13,1987,46390.0,yes
No,Unknown,553.33,1,3,Unknown,417,4,M,2,2,Laboratory technician,4,Unknown,0,No,12,3.0,2,Part time,1,0,3.0,9,0,0,1988,53630.0,no
Yes,Unknown,1582.77,13,4,Unknown,418,1,F,4,4,Sales executive,3,Unknown,6,Nan,17,3.0,3,Full time,0,2,3.0,19,3,8,1968,153407.07,yes
No,Unknown,556.26,29,3,Unknown,419,2,F,3,2,Laboratory technician,3,Unknown,4,Nan,13,3.0,1,Part time,2,1,3.0,8,7,7,1989,53914.11,no
No,Unknown,421.06,6,3,Medical,420,1,M,2,2,Research scientist,3,Single,1,Yes,14,3.0,1,Part time,0,3,3.0,20,1,8,1980,40810.0,no
No,Travel_rarely,1582.77,10,3,Human resources,421,3,M,3,4,Manager,1,Married,0,Nan,14,3.0,3,Full time,1,5,3.0,20,0,9,1981,153407.07,no
No,Travel_rarely,369.16,7,3,Unknown,422,3,F,4,1,Laboratory technician,1,Single,0,No,12,3.0,4,Full time,0,2,3.0,7,0,7,1997,35780.0,yes
Yes,Unknown,1032.49,14,1,Other,423,3,M,3,3,Healthcare representative,4,Single,0,Yes,12,3.0,1,Part time,0,1,3.0,8,7,7,1994,100071.84,yes
No,Unknown,1787.81,1,3,Unknown,424,4,M,3,4,Research director,4,Unknown,6,Nan,19,3.0,4,Full time,0,3,3.0,20,12,7,1969,173280.0,no
No,Unknown,1582.77,1,4,Unknown,425,2,F,4,4,Research director,4,Divorced,2,No,13,3.0,4,Full time,2,4,3.0,7,0,0,1968,153407.07,yes
No,Non-travel,556.26,9,4,Other,426,3,F,3,2,Laboratory technician,3,Unknown,3,No,11,3.0,3,Part time,2,2,3.0,8,0,7,1983,53914.11,yes
No,Unknown,1113.56,8,2,Unknown,427,1,F,3,3,Sales executive,4,Divorced,1,Nan,18,3.0,1,Full time,1,5,3.0,13,9,9,1992,107930.0,yes
Yes,Unknown,1032.49,9,3,Marketing,428,1,F,3,3,Sales executive,4,Divorced,4,No,11,3.0,1,Unknown,1,1,3.0,7,4,3,1977,53914.11,yes
No,Travel_rarely,1119.55,20,3,Medical,429,2,F,1,3,Healthcare representative,1,Unknown,2,Yes,18,3.0,2,Full time,1,2,3.0,7,0,7,1978,108510.0,no
No,Travel_rarely,1079.83,7,4,Life sciences,430,3,F,3,3,Healthcare representative,2,Divorced,3,Nan,14,3.0,2,Full time,2,3,3.0,8,0,7,1974,104660.0,no
No,Travel_rarely,556.26,19,3,Unknown,431,3,F,2,2,Sales executive,3,Unknown,1,Nan,14,3.0,3,Part time,2,3,3.0,10,0,4,1994,53914.11,yes
Yes,Unknown,243.7,1,4,Technical degree,432,1,F,2,1,Research scientist,1,Single,6,No,13,3.0,3,Part time,0,2,3.0,9,0,7,1994,23620.0,yes
No,Unknown,556.26,8,1,Other,433,3,M,1,2,Healthcare representative,1,Unknown,3,No,13,3.0,3,Part time,1,3,3.0,7,0,7,1994,53914.11,yes
No,Travel_rarely,1582.77,6,2,Unknown,434,3,F,3,4,Manager,4,Single,1,Yes,21,3.0,4,Full time,0,2,3.0,21,7,7,1983,153407.07,yes
No,Unknown,664.34,16,4,Life sciences,435,3,M,3,2,Sales executive,3,Divorced,8,No,14,3.0,3,Full time,1,2,3.0,8,7,7,1975,64390.0,yes
Yes,Unknown,1032.49,2,5,Unknown,436,3,M,2,3,Manufacturing director,4,Married,0,Nan,16,3.0,2,Part time,1,4,3.0,33,1,9,1970,100071.84,yes
No,Unknown,1973.98,7,3,Medical,437,2,M,3,5,Research director,4,Unknown,0,Yes,14,3.0,4,Unknown,1,4,3.0,22,1,10,1979,191324.62,no
No,Unknown,595.21,5,5,Unknown,438,3,M,1,2,Laboratory technician,1,Unknown,1,Nan,14,3.0,1,Full time,0,3,3.0,10,1,4,1978,57690.0,no
No,Non-travel,452.42,26,3,Marketing,439,1,F,2,2,Sales executive,1,Unknown,1,Nan,15,3.0,1,Unknown,1,2,3.0,10,4,5,1978,53914.11,no
No,Travel_frequently,556.26,10,4,Unknown,440,3,F,4,2,Manufacturing director,4,Unknown,1,Nan,13,3.0,1,Part time,1,3,3.0,9,7,2,1989,53914.11,yes
No,Unknown,556.26,10,5,Medical,441,2,F,3,2,Manufacturing director,1,Unknown,2,Nan,13,3.0,4,Unknown,3,3,3.0,7,7,7,1984,53914.11,no
No,Unknown,419.51,36,3,Unknown,442,36,F,2,1,Laboratory technician,1,Divorced,1,No,11,3.0,1,Full time,2,3,3.0,7,0,7,1996,40660.0,yes
No,Travel_rarely,556.26,2,2,Unknown,443,4,M,2,2,Manufacturing director,4,Divorced,1,Nan,19,3.0,1,Unknown,2,3,3.0,10,3,9,1978,53914.11,yes
No,Unknown,556.26,1,5,Unknown,444,1,F,3,2,Human resources,4,Married,4,Yes,11,3.0,3,Unknown,0,3,3.0,10,0,2,1979,53914.11,yes
No,Unknown,537.13,2,1,Life sciences,445,4,F,4,2,Manufacturing director,3,Divorced,1,Nan,17,3.0,3,Part time,2,6,3.0,7,0,7,1998,52060.0,no
No,Unknown,1582.77,1,3,Unknown,446,3,F,3,4,Manager,3,Single,4,Nan,14,3.0,1,Full time,0,2,3.0,8,0,0,1974,153407.07,yes
Yes,Travel_frequently,273.93,7,2,Unknown,447,4,M,3,1,Sales representative,3,Unknown,2,Nan,11,3.0,3,Unknown,2,3,3.0,9,7,7,1975,53914.11,no
No,Unknown,265.16,7,3,Medical,448,4,F,3,1,Laboratory technician,4,Unknown,1,No,20,3.0,3,Part time,0,5,3.0,7,5,7,1997,25700.0,yes
No,Travel_rarely,1032.49,2,3,Life sciences,449,3,M,4,3,Healthcare representative,4,Unknown,1,Nan,19,3.0,2,Part time,1,2,3.0,8,6,7,1979,100071.84,yes
No,Unknown,464.49,2,4,Unknown,450,3,M,3,2,Sales representative,4,Single,3,Nan,15,3.0,3,Part time,0,2,3.0,13,6,7,1987,45020.0,yes
No,Unknown,556.26,13,4,Unknown,451,3,F,3,2,Healthcare representative,2,Single,6,No,14,3.0,4,Part time,0,3,3.0,10,0,9,1977,53914.11,yes
No,Unknown,556.26,27,4,Life sciences,452,4,F,3,2,Manufacturing director,3,Married,2,Nan,16,3.0,2,Part time,1,3,3.0,7,0,7,1988,53914.11,yes
No,Travel_frequently,512.57,2,4,Unknown,453,4,M,2,1,Research scientist,1,Unknown,0,Nan,16,3.0,4,Unknown,0,2,3.0,9,0,7,1993,49680.0,no
No,Unknown,1032.49,15,2,Marketing,454,3,F,2,3,Sales executive,1,Unknown,2,No,11,3.0,1,Part time,1,2,3.0,7,1,7,1993,100071.84,yes
No,Non-travel,531.04,2,3,Marketing,455,4,M,3,2,Sales executive,2,Unknown,8,No,15,3.0,4,Part time,0,2,3.0,11,1,7,1990,51470.0,yes
No,Unknown,280.43,5,4,Unknown,456,2,F,3,1,Research scientist,2,Single,2,No,14,3.0,2,Part time,0,3,3.0,7,0,7,1991,27180.0,yes
No,Travel_rarely,365.13,2,3,Life sciences,457,2,F,3,1,Human resources,4,Unknown,0,No,13,3.0,2,Unknown,0,5,3.0,9,1,8,1980,53914.11,no
No,Travel_rarely,564.16,29,4,Marketing,458,1,M,2,2,Sales executive,4,Unknown,1,Nan,14,3.0,1,Full time,2,3,3.0,12,5,7,1992,54680.0,yes
Yes,Unknown,599.75,27,3,Unknown,459,3,F,3,2,Sales executive,4,Unknown,1,Nan,18,3.0,4,Unknown,0,2,3.0,10,7,7,1988,53914.11,no
No,Non-travel,556.26,2,2,Medical,460,2,F,3,2,Manufacturing director,4,Divorced,2,No,14,3.0,3,Unknown,1,6,3.0,7,1,7,1988,53914.11,no
No,Unknown,997.39,10,3,Medical,461,1,M,3,3,Manufacturing director,3,Single,9,No,14,3.0,2,Part time,0,3,3.0,7,0,2,1993,96670.0,no
Yes,Travel_rarely,556.26,19,2,Medical,462,4,M,3,2,Healthcare representative,2,Married,4,No,22,3.0,4,Unknown,1,2,3.0,9,3,7,1977,53914.11,no
No,Non-travel,531.76,2,4,Unknown,463,3,M,3,2,Sales executive,3,Married,4,Nan,22,3.0,2,Part time,2,3,3.0,8,5,7,1978,51540.0,no
No,Travel_frequently,585.52,2,4,Life sciences,464,1,F,3,2,Sales executive,4,Married,1,Nan,20,3.0,3,Full time,1,5,3.0,7,7,7,1980,56750.0,no
Yes,Unknown,754.62,10,3,Life sciences,465,3,M,3,3,Sales executive,2,Unknown,5,Nan,21,3.0,3,Part time,3,2,3.0,8,0,7,1977,73140.0,yes
No,Travel_rarely,1582.77,1,4,Unknown,466,1,F,3,4,Manager,1,Unknown,2,Nan,11,3.0,1,Unknown,1,3,3.0,19,11,16,1983,53914.11,yes
No,Travel_rarely,556.26,2,2,Unknown,467,1,M,4,2,Sales executive,3,Single,0,No,14,3.0,2,Part time,0,5,3.0,8,0,7,1996,53914.11,no
No,Unknown,1032.49,6,3,Medical,468,3,F,3,3,Research director,1,Married,9,No,13,3.0,2,Unknown,1,3,3.0,13,5,7,1981,53914.11,yes
No,Travel_frequently,290.04,6,3,Other,469,3,F,4,1,Laboratory technician,4,Married,0,No,18,3.0,1,Part time,1,3,3.0,7,7,7,1997,28111.13,yes
No,Travel_frequently,556.26,1,2,Life sciences,470,3,F,2,2,Sales executive,4,Married,1,Nan,12,3.0,3,Part time,1,2,3.0,7,0,7,1995,53914.11,yes
No,Unknown,556.26,14,4,Unknown,471,3,F,3,2,Research scientist,2,Married,8,Nan,18,3.0,3,Part time,1,4,3.0,8,1,7,1976,53914.11,no
No,Travel_rarely,1032.49,13,4,Medical,472,4,F,3,3,Sales executive,3,Divorced,1,No,18,3.0,3,Part time,1,2,3.0,8,1,1,1989,100071.84,yes
No,Unknown,290.04,1,3,Medical,473,3,F,3,1,Laboratory technician,1,Single,0,No,13,3.0,4,Part time,0,6,3.0,7,7,6,1997,28111.13,yes
No,Travel_rarely,556.26,9,3,Unknown,474,4,F,3,2,Sales executive,4,Unknown,1,Nan,14,3.0,1,Part time,0,5,3.0,7,0,7,1996,53914.11,no
Yes,Travel_frequently,556.26,26,4,Marketing,475,1,F,3,2,Sales executive,4,Unknown,1,Yes,11,3.0,3,Part time,0,4,3.0,10,0,8,1992,53914.11,yes
No,Travel_frequently,556.26,7,2,Life sciences,476,4,F,3,2,Healthcare representative,3,Divorced,1,Nan,20,3.0,3,Unknown,3,2,3.0,9,2,8,1990,53914.11,yes
No,Unknown,1032.49,10,3,Unknown,477,3,M,3,3,Research director,3,Married,4,No,20,3.0,3,Part time,1,2,3.0,11,4,8,1992,100071.84,yes
No,Unknown,525.98,9,4,Medical,478,2,F,3,2,Research scientist,3,Unknown,1,No,19,3.0,2,Part time,0,5,3.0,10,0,8,1988,50980.0,yes
No,Travel_rarely,556.26,15,2,Unknown,479,2,M,3,2,Healthcare representative,4,Married,0,Yes,13,3.0,1,Part time,1,6,3.0,9,8,1,1990,53914.11,yes
No,Travel_rarely,556.26,24,1,Life sciences,480,1,F,3,2,Research scientist,4,Single,7,No,13,3.0,1,Unknown,0,2,3.0,7,1,7,1984,53914.11,no
No,Travel_rarely,1032.49,46,3,Unknown,481,46,M,2,3,Sales executive,4,Marreid,0,No,19,3.0,3,Part time,2,2,3.0,9,3,4,1987,100071.84,yes
No,Travel_rarely,1400.08,28,4,Life sciences,482,1,M,2,4,Manufacturing director,2,Married,0,No,23,3.0,3,Full time,1,3,3.0,20,0,10,1982,135700.0,yes
No,Unknown,692.51,28,3,Marketing,483,4,M,2,2,Sales executive,3,Married,1,No,21,3.0,4,Full time,2,2,3.0,8,1,7,1989,67120.0,no
No,Travel_rarely,556.26,10,2,Unknown,484,1,M,3,2,Sales executive,4,Married,1,No,11,3.0,3,Unknown,1,1,3.0,10,1,9,1985,53914.11,yes
No,Travel_rarely,1030.82,6,1,Unknown,485,4,F,2,3,Healthcare representative,1,Unknown,4,Nan,15,3.0,1,Part time,1,5,3.0,7,1,7,1984,99910.0,yes
No,Travel_rarely,1032.49,7,4,Unknown,486,1,M,3,3,Research director,2,Single,0,No,11,3.0,3,Part time,0,4,3.0,12,2,11,1989,100071.84,no
No,Travel_rarely,1057.33,7,4,Medical,487,1,M,2,3,Healthcare representative,4,Married,3,Nan,14,3.0,4,Full time,1,4,3.0,22,5,17,1979,102480.0,yes
No,Unknown,556.26,5,4,Unknown,488,1,F,3,2,Sales executive,4,Single,4,Nan,21,3.0,3,Part time,0,4,3.0,9,0,8,1977,53914.11,yes
No,Travel_frequently,1582.77,10,3,Life sciences,489,4,F,2,4,Manager,1,Divorced,4,Nan,13,3.0,2,Full time,1,2,3.0,7,7,7,1982,153407.07,no
No,Unknown,1128.52,2,4,Unknown,490,3,M,3,3,Healthcare representative,3,Single,0,No,25,3.0,4,Unknown,0,1,3.0,19,11,8,1984,53914.11,no
No,Travel_rarely,267.53,2,3,Medical,491,4,M,2,1,Laboratory technician,1,Divorced,0,Yes,11,3.0,3,Part time,1,4,3.0,9,7,8,1981,25930.0,yes
No,Travel_frequently,1225.51,5,4,Unknown,492,4,M,3,3,Manager,2,Married,6,Nan,11,3.0,2,Unknown,2,2,3.0,10,8,8,1990,53914.11,yes
No,Travel_rarely,835.2,5,4,Technical degree,493,3,F,3,3,Manufacturing director,2,Single,0,No,13,3.0,4,Part time,0,5,3.0,16,0,13,1988,80950.0,yes
Yes,Travel_rarely,1032.49,15,1,Medical,494,2,F,3,3,Manager,3,Married,7,Nan,12,3.0,4,Part time,0,2,3.0,7,7,7,1990,100071.84,yes
No,Travel_rarely,1582.77,6,3,Life sciences,495,2,M,3,4,Manufacturing director,3,Single,7,No,15,3.0,3,Full time,0,3,3.0,20,5,13,1983,153407.07,no
No,Travel_rarely,1973.98,10,4,Human resources,496,2,F,2,5,Manager,4,Divorced,3,No,15,3.0,2,Full time,3,2,3.0,21,12,6,1982,191324.62,no
No,Unknown,556.26,7,3,Unknown,497,4,M,2,2,Healthcare representative,1,Unknown,8,No,19,3.0,1,Part time,0,2,3.0,7,0,7,1996,53914.11,no
No,Travel_rarely,1739.11,3,4,Marketing,498,3,F,2,4,Manager,1,Unknown,1,Nan,11,3.0,1,Full time,0,3,3.0,34,1,16,1971,168560.0,yes
No,Travel_rarely,1582.77,26,4,Marketing,499,1,M,3,4,Manager,3,Married,2,No,14,3.0,3,Full time,1,2,3.0,20,4,17,1972,153407.07,no
No,Travel_rarely,468.1,2,2,Marketing,500,3,M,3,2,Sales executive,4,Unknown,0,Nan,22,3.0,1,Part time,1,2,3.0,7,7,7,1976,45370.0,yes
No,Non-travel,1849.3,2,4,Unknown,501,1,F,3,4,Manager,1,Divorced,1,Nan,11,3.0,4,Full time,1,3,3.0,31,14,7,1973,179240.0,no
No,Travel_rarely,414.14,21,1,Life sciences,502,4,M,3,2,Healthcare representative,4,Married,1,Nan,25,3.0,4,Part time,1,2,3.0,10,0,7,1988,40140.0,yes
No,Travel_rarely,1314.65,1,1,Unknown,503,4,M,2,4,Manufacturing director,4,Married,1,No,16,3.0,3,Full time,1,3,3.0,21,11,8,1984,127420.0,yes
No,Travel_frequently,1032.49,22,3,Medical,504,4,M,3,3,Manufacturing director,1,Single,1,Nan,13,3.0,3,Part time,0,2,3.0,21,2,8,1984,100071.84,no
No,Unknown,348.32,7,2,Unknown,505,2,M,4,1,Research scientist,3,Unknown,1,No,13,3.0,3,Full time,0,3,3.0,10,0,8,1982,33760.0,no
Yes,Unknown,1081.48,1,2,Medical,506,2,F,2,3,Human resources,1,Married,9,No,14,3.0,4,Full time,1,1,3.0,20,3,6,1979,104820.0,yes
No,Unknown,1582.77,2,2,Medical,507,4,F,3,4,Manager,1,Unknown,0,No,17,3.0,4,Unknown,1,3,3.0,22,13,7,1981,53914.11,no
No,Travel_rarely,1032.49,7,4,Life sciences,508,2,F,3,3,Healthcare representative,2,Single,7,Nan,19,3.0,4,Part time,0,4,3.0,8,4,0,1971,100071.84,yes
No,Unknown,290.04,1,3,Unknown,509,3,F,4,1,Human resources,3,Unknown,1,No,13,3.0,4,Part time,1,2,3.0,7,5,0,1985,28111.13,yes
No,Unknown,290.04,1,2,Life sciences,510,4,M,3,1,Human resources,1,Unknown,6,Nan,12,3.0,3,Part time,0,3,3.0,7,5,7,1977,28111.13,yes
No,Unknown,438.39,4,4,Life sciences,511,3,F,3,2,Research scientist,3,Single,1,Nan,11,3.0,2,Part time,0,3,3.0,9,1,1,1988,42490.0,no
No,Travel_rarely,675.69,29,1,Life sciences,512,3,F,1,2,Manufacturing director,2,Married,1,Nan,14,3.0,2,Unknown,2,2,3.0,8,1,7,1995,53914.11,yes
No,Unknown,1582.77,28,3,Life sciences,513,4,F,3,4,Research director,1,Married,3,No,13,3.0,3,Unknown,1,1,3.0,20,14,17,1979,53914.11,yes
No,Unknown,1486.85,22,5,Unknown,514,3,F,1,4,Research director,4,Unknown,1,Nan,13,3.0,4,Unknown,0,2,3.0,32,13,9,1973,53914.11,no
No,Travel_rarely,2020.78,23,5,Marketing,515,3,F,2,5,Manager,4,Unknown,1,No,21,3.0,3,Full time,1,3,3.0,36,2,13,1968,195860.0,yes
